Purchasing Document,Company Code,Purchasing Doc. Type,Deletion indicator,Currency,Exchange Rate
4000000761,1100,ZCAP,,INR,1.0
4000000763,1100,ZCAP,,INR,1.0
4000000764,1100,ZCAP,,INR,81.8
4000000769,1100,ZCAP,,INR,1.0
4000000770,1100,ZCAP,,INR,81.8
4000000771,1100,ZCAP,,INR,60.05
4000000772,1100,ZCAP,,INR,81.8
4000000773,1100,ZCAP,,INR,81.8
4000000774,1100,ZCAP,,INR,81.8
4000000775,1100,ZCAP,,INR,81.8
4000000779,1100,ZCAP,,INR,81.8
4000000780,1100,ZCAP,,INR,1.0
4000000781,1100,ZCAP,,INR,1.0
4000000782,1100,ZCAP,,INR,1.0
4000000783,1100,ZCAP,,INR,81.8
4000000784,1100,ZCAP,,INR,1.0
4000000785,1100,ZCAP,,INR,81.8
4000000795,1100,ZCAP,,INR,1.0
4000000796,1100,ZCAP,,INR,1.0
4000000797,1100,ZCAP,,INR,1.0
4000000798,1100,ZCAP,,INR,1.0
4000000799,1100,ZCAP,,INR,1.0
4000000800,1100,ZCAP,,INR,1.0
4000000801,1100,ZCAP,,INR,1.0
4000000802,1100,ZCAP,,INR,1.0
4000000806,1100,ZCAP,,INR,1.0
4000000813,1100,ZCAP,,,1.0
4000000815,1100,ZCAP,,INR,1.0
4000000816,1100,ZCAP,,INR,1.0
4000000819,1100,ZCAP,,INR,1.0
4000000821,1100,ZCAP,,INR,1.0
4000000823,1100,ZCAP,,INR,1.0
4000000824,1100,ZCAP,,INR,1.0
4000000826,1100,ZCAP,,INR,81.95
4000000827,1100,ZCAP,,INR,81.95
4000000828,1100,ZCAP,,INR,81.95
4000000829,1100,ZCAP,,INR,81.95
4000000830,1100,ZCAP,,INR,61.65
4000000833,1100,ZCAP,,INR,1.0
4000000834,1100,ZCAP,,INR,1.0
4000000835,1100,ZCAP,,INR,1.0
4000000836,1100,ZCAP,,INR,1.0
4000000837,1100,ZCAP,,INR,1.0
4000000838,1100,ZCAP,,INR,1.0
4000000839,1100,ZCAP,,INR,1.0
4000000840,1100,ZCAP,,INR,1.0
4000000841,1100,ZCAP,,INR,1.0
4000000842,1100,ZCAP,,,61.65
4000000843,1100,ZCAP,,INR,1.0
4000000844,1100,ZCAP,,INR,1.0
4000000845,1100,ZCAP,,INR,1.0
4000000846,1100,ZCAP,,,1.0
4000000847,1100,ZCAP,,INR,1.0
4000000848,1100,ZCAP,,INR,1.0
4000000849,1100,ZCAP,,INR,1.0
4000000850,1100,ZCAP,,INR,1.0
4000000851,1100,ZCAP,,,1.0
4000000856,1100,ZCAP,,INR,1.0
4000000857,1100,ZCAP,,INR,1.0
4000000859,1100,ZCAP,,INR,1.0
4000000862,1100,ZCAP,,INR,1.0
4000000866,1100,ZCAP,,INR,1.0
4000000867,1100,ZCAP,,INR,1.0
4000000868,1100,ZCAP,,INR,1.0
4000000869,1100,ZCAP,,INR,1.0
4000000872,1100,ZCAP,,INR,1.0
4000000874,1100,ZCAP,,INR,1.0
4000000877,1100,ZCAP,,INR,1.0
4000000878,1100,ZCAP,,INR,1.0
4000000881,1100,ZCAP,,INR,80.55
4000000886,1100,ZCAP,,INR,80.55
4000000887,1100,ZCAP,,INR,80.55
4000000888,1100,ZCAP,,INR,1.0
4000000891,1100,ZCAP,,INR,1.0
4000000892,1100,ZCAP,,INR,62.4
4000000893,1100,ZCAP,,INR,80.55
4000000894,1100,ZCAP,,INR,80.55
4000000898,1100,ZCAP,,INR,1.0
4000000899,1100,ZCAP,,INR,1.0
4000000903,1100,ZCAP,,INR,1.0
4000000912,1100,ZCAP,,INR,1.0
4000000926,1100,ZCAP,,,1.0
4000000927,1100,ZCAP,,INR,1.0
4000000929,1100,ZCAP,,INR,1.0
4000000930,1100,ZCAP,,INR,1.0
4000000931,1100,ZCAP,,INR,1.0
4000000938,1100,ZCAP,,INR,81.05
4000000939,1100,ZCAP,,INR,81.05
4000000943,1100,ZCAP,,INR,1.0
4000000945,1100,ZCAP,,INR,81.05
4000000947,1100,ZCAP,,INR,81.05
4000000949,1100,ZCAP,,INR,81.05
4000000951,1100,ZCAP,,INR,1.0
4000000955,1100,ZCAP,,INR,1.0
4000000956,1100,ZCAP,,INR,81.05
4000000957,1100,ZCAP,,INR,1.0
4000000958,1100,ZCAP,,INR,1.0
4000000959,1100,ZCAP,,INR,1.0
4000000965,1100,ZCAP,,INR,1.0
4000000967,1100,ZCAP,,INR,1.0
4000000972,1100,ZCAP,,INR,1.0
4000000982,1100,ZCAP,,INR,1.0
4000000988,1100,ZCAP,,INR,1.0
4000000989,1100,ZCAP,,INR,1.0
4000000990,1100,ZCAP,,INR,1.0
4000000991,1100,ZCAP,,INR,1.0
4000000993,1100,ZCAP,,INR,1.0
4000000994,1100,ZCAP,,INR,1.0
4000000999,1100,ZCAP,,INR,1.0
4000001004,1100,ZCAP,,,81.9
4000001010,1100,ZCAP,,INR,1.0
4000001013,1100,ZCAP,,INR,1.0
4000001014,1100,ZCAP,,INR,1.0
4000001027,1100,ZCAP,,INR,1.0
4000001028,1100,ZCAP,,INR,1.0
4000001032,1100,ZCAP,,INR,1.0
4000001033,1100,ZCAP,,INR,81.9
4000001034,1100,ZCAP,,INR,1.0
4000001036,1100,ZCAP,,INR,1.0
4000001042,1100,ZCAP,,INR,1.0
4000001043,1100,ZCAP,,INR,1.0
4000001044,1100,ZCAP,,INR,1.0
4000001045,1100,ZCAP,,INR,1.0
4000001049,1100,ZCAP,,INR,1.0
4000001052,1100,ZCAP,,INR,1.0
4000001056,1100,ZCAP,,INR,1.0
4000001058,1100,ZCAP,,INR,1.0
4000001066,1100,ZCAP,,INR,1.0
4000001067,1100,ZCAP,,INR,1.0
4000001069,1100,ZCAP,,INR,1.0
4000001073,1100,ZCAP,,INR,1.0
4000001074,1100,ZCAP,,INR,1.0
4000001075,1100,ZCAP,,INR,1.0
4000001076,1100,ZCAP,,INR,1.0
4000001079,1100,ZCAP,,INR,1.0
4000001082,1100,ZCAP,,INR,1.0
4000001083,1100,ZCAP,,INR,1.0
4000001087,1100,ZCAP,,INR,1.0
4000001088,1100,ZCAP,,INR,1.0
4000001090,1100,ZCAP,,INR,1.0
4000001093,1100,ZCAP,,INR,1.0
4000001100,1100,ZCAP,,INR,1.0
4000001104,1100,ZCAP,,INR,1.0
4000001106,1100,ZCAP,,INR,1.0
4000001109,1100,ZCAP,,INR,81.95
4000001111,1100,ZCAP,,INR,1.0
4000001114,1100,ZCAP,,INR,1.0
4000001115,1100,ZCAP,,INR,1.0
4000001128,1100,ZCAP,,INR,1.0
4000001134,1100,ZCAP,,INR,1.0
4000001137,1100,ZCAP,,INR,1.0
4000001138,1100,ZCAP,,INR,1.0
4000001142,1100,ZCAP,,INR,1.0
4000001144,1100,ZCAP,,INR,1.0
4000001146,1100,ZCAP,,INR,1.0
4000001148,1100,ZCAP,,INR,1.0
4000001149,1100,ZCAP,,INR,1.0
4000001162,1100,ZCAP,,INR,1.0
4000001166,1100,ZCAP,,INR,81.1
4000001167,1100,ZCAP,,INR,81.1
4000001168,1100,ZCAP,,INR,81.1
4000001169,1100,ZCAP,,INR,81.1
4000001170,1100,ZCAP,,INR,81.1
4000001171,1100,ZCAP,,INR,81.1
